Modelo,accuracy,f1_macro,f1_biased
Dummy,0.6852300242130751,0.2710727969348659,0.0
LR + Binary BoW,0.8393866020984665,0.6679942443000563,0.2839506172839506
LR + Count,0.8337368845843423,0.6704371554216756,0.3058823529411765
LR + Count (balanced),0.8200161420500404,0.68814614904656,0.365296803652968
"LR + TF-IDF (1,2)",0.8159806295399515,0.703587822198712,0.4112903225806452
"LR + TF-IDF (1,2) (balanced)",0.8159806295399515,0.703587822198712,0.4112903225806452
LR + TF-IDF unigram,0.8030669895076675,0.6992966280427785,0.41605839416058393
LR + TF-IDF bigram,0.7715899919289749,0.6277832902469406,0.28695652173913044
MNB + Count (balanced),0.7635189669087974,0.6871214539532814,0.44984802431610943
"MNB + TF-IDF (1,2) (balanced)",0.6924939467312349,0.6393452724673446,0.35789473684210527
MNB + TF-IDF unigram (balanced),0.7239709443099274,0.6558592393386194,0.38207547169811323
MNB + TF-IDF bigram (balanced),0.6319612590799032,0.5892251155866495,0.3013182674199623
MNB + TF-IDF unigram,0.8103309120258273,0.5438846641318125,0.0
Task A | LinearSVC + CountVectorizer,0.837772397094431,0.7002248889834536,0.37948717948717947
Task A | LinearSVC + CountVectorizer(binary=True),0.8418079096045198,0.7004051190479578,0.3695652173913043
"Task A | LinearSVC + TF-IDF (1,2)",0.8418079096045198,0.7031826958944313,0.37433155080213903
Task A | LinearSVC + TF-IDF unigram,0.8353510895883777,0.7021042866859369,0.38974358974358975
Task A | LinearSVC + TF-IDF bigram,0.7804681194511703,0.6155716667793544,0.27225130890052357
Dense + Word2Vec(mean) + LR,0.8184019370460048,0.5626400862068965,0.034482758620689655
LR + TF-IDF unigram + SMOTE,0.8184019370460048,0.7044719837816263,0.4112903225806452
"LR + TF-IDF (1,2) + SMOTE",0.8321226795803067,0.7158147664290383,0.4298245614035088
MNB + TF-IDF unigram + SMOTE,0.7546408393866021,0.6757932335416593,0.40641711229946526
"MNB + TF-IDF (1,2) + SMOTE",0.7425343018563357,0.6707274187407051,0.4020356234096692
LinearSVC + TF-IDF unigram + SMOTE,0.7990314769975787,0.6672711778589507,0.34782608695652173
"LinearSVC + TF-IDF (1,2) + SMOTE",0.8216303470540759,0.6779132492854342,0.3487179487179487
Dense + Word2Vec(mean) + LR + SMOTE,0.31476997578692495,0.2770110746014361,0.15555555555555556
